"items_address","items_catid","items_city","items_country","items_cutDescription","items_date","items_description","items_id","items_lat","items_lng","items_multimedia","items_readmore","items_state","items_street","items_title","items_zip"
"Mini Bypass Rd, Govindapuram, 673016 Kozhikode, Kerala , India","16","Kozhikode","India","Aster MIMS Laboratory Services, Mini, Mini Bypass Rd, Govindapuram, Kozhikode, Kerala 673016","2020-03-27 10:49:56","Aster MIMS Laboratory Services, Mini, Mini Bypass Rd, Govindapuram, Kozhikode, Kerala 673016","188","11.245797","75.79866","","/index.php/testing-facilities/16-private-laboratories/188-mims-laboratory-services-kozhikode","Kerala ","Mini Bypass Rd, Govindapuram","MIMS Laboratory Services, Kozhikode","673016"
"363-364/4, Jawahar Nagar, New Railway Road, 122001 Gurugram, Haryana, India","16","Gurugram","India","363-364/4, Jawahar Nagar, New Railway Road, Gurugram-122001, Haryana","2020-03-25 06:54:58","363-364/4, Jawahar Nagar, New Railway Road, Gurugram-122001, Haryana","168","28.466013","77.02478","","/index.php/testing-facilities/16-private-laboratories/168-modern-diagnostic-research-centre-laboratory-gurugram","Haryana","363-364/4, Jawahar Nagar, New Railway Road","Modern Diagnostic & research Centre Laboratory, Gurugram","122001"
"Plot 28-29, Electronic City, Sector 18, 122001 Gurugram, Haryana , India","16","Gurugram","India","Plot 28-29, Sector 18(P), Electronic City, Udyog Vihar Phase-IV, Gurugram, Haryana 122001","2020-03-28 08:19:16","Plot 28-29, Sector 18(P), Electronic City, Udyog Vihar Phase-IV, Gurugram, Haryana 122001","192","28.500406","77.072037","","/index.php/testing-facilities/16-private-laboratories/192-molq-lab-a-unit-of-molecular-quest-healthcare-private-limited-gurugram","Haryana ","Plot 28-29, Electronic City, Sector 18","Molq Lab (A Unit of Molecular Quest Healthcare Private Limited), Gurugram","122001"
"Irwin Road, next to Railway Staion, , 570001 Mysuru, , Karnataka , India","15","Mysuru, ","India","Irwin Road, next to Railway Staion, Mysuru, Karnataka 570001","2020-03-22 22:23:23","Irwin Road, next to Railway Staion, Mysuru, Karnataka 570001","57","12.314514","76.646339","","/index.php/testing-facilities/15-government-laboratories/57-mysore-medical-college-research-institute-mysore","Karnataka ","Irwin Road, next to Railway Staion, ","Mysore Medical College & Research Institute, Mysore","570001"
" 22, Sham Nath Marg, Civil Lines, 110054 New Delhi, Delhi, India","15","New Delhi","India"," 22, Sham Nath Marg, Civil Lines, New Delhi, Delhi 110054","2020-03-23 09:14:23"," 22, Sham Nath Marg, Civil Lines, New Delhi, Delhi 110054","124","28.679474","77.22139","","/index.php/testing-facilities/15-government-laboratories/124-national-centre-for-disease-control-new-delhi","Delhi"," 22, Sham Nath Marg, Civil Lines","National Centre for Disease Control, New Delhi","110054"
"Nagpur Road, near NSCB Medical Collage, Dhanvantri Nagar, Shastri Nagar,, 482003 Jabalpur, Madhya Pradesh, India","15","Jabalpur","India","Nagpur Road, near NSCB Medical Collage, Dhanvantri Nagar, Shastri Nagar, Jabalpur, Madhya Pradesh...","2020-03-23 04:57:34","Nagpur Road, near NSCB Medical Collage, Dhanvantri Nagar, Shastri Nagar, Jabalpur, Madhya Pradesh 482003","70","23.147329","79.878586","","/index.php/testing-facilities/15-government-laboratories/70-national-institute-for-research-in-tribal-health-jabalpur","Madhya Pradesh","Nagpur Road, near NSCB Medical Collage, Dhanvantri Nagar, Shastri Nagar,","National Institute for Research in Tribal Health, Jabalpur","482003"
"GB 4, 1st Floor, ID & BG Hospital Campus, 57, Dr SC Banerjee Rd ,  700010 Kolkata, West Bengal , India","15","Kolkata","India","GB 4, 1st Floor, ID & BG Hospital Campus, 57, Dr SC Banerjee Rd, Beleghata, Kolkata, West Bengal...","2020-03-22 19:57:00","GB 4, 1st Floor, ID & BG Hospital Campus, 57, Dr SC Banerjee Rd, Beleghata, Kolkata, West Bengal 700010","20","22.564617","88.400352","","/index.php/testing-facilities/15-government-laboratories/20-national-institute-of-cholera-enteric-diseases-niced-kolkata","West Bengal ","GB 4, 1st Floor, ID & BG Hospital Campus, 57, Dr SC Banerjee Rd ","National Institute of Cholera & Enteric Diseases (NICED), Kolkata"," 700010"
"Vandanam, , 688005 Allapuzzha, Kerala , India","15","Allapuzzha","India","Vandanam, Kerala 688005","2020-03-22 22:52:58","Vandanam, Kerala 688005","65","9.418581","76.343201","","/index.php/testing-facilities/15-government-laboratories/65-national-institute-of-virology-field-unit-allapuzzha","Kerala ","Vandanam, ","National Institute of Virology Field Unit, Allapuzzha","688005"
"Haffkine Institute Compound, A D Marg, Parel , 4000012 Mumbai, Maharashtra, India","15","Mumbai","India","National Institute of Virology Field Unit, Mumbai, Haffkine Institute Compound, A D Marg, Parel...","2020-03-23 11:07:06","National Institute of Virology Field Unit, Mumbai, Haffkine Institute Compound, A D Marg, Parel Mumbai 4000012","138","19.002056","72.841553","","/index.php/testing-facilities/15-government-laboratories/138-national-institute-of-virology-field-unit-mumbai","Maharashtra","Haffkine Institute Compound, A D Marg, Parel ","National Institute of Virology Field Unit, Mumbai","4000012"
"1st Block, Jayanagar, 560011 Bengaluru, Karnataka, India","15","Bengaluru","India","National Institute of Virology, Field Unit, <span class=""section-info-text""><span class=""widget-pane-link"">Jaya Nagar 1st Block, Jayanagar, Bengaluru, Karnataka</span></span>...","2020-03-23 09:32:54","National Institute of Virology, Field Unit, <span class=""section-info-text""><span class=""widget-pane-link"">Jaya Nagar 1st Block, Jayanagar, Bengaluru, Karnataka 560011</span></span>","129","12.937333","77.588646","","/index.php/testing-facilities/15-government-laboratories/129-national-institute-of-virology-field-unit-bengaluru","Karnataka","1st Block, Jayanagar","National Institute of Virology, Field Unit, Bengaluru","560011"
"130/1, Pashan - Sus Rd, 411021 Pune, Maharashtra, India","15","Pune","India","<span class=""section-info-text""><span class=""widget-pane-link"">National Institute of Virology, Pune, 130/1, Pashan - Sus Rd, Pashan Gaon, Pashan, Pune,</span></span>...","2020-03-23 09:37:18","<span class=""section-info-text""><span class=""widget-pane-link"">National Institute of Virology, Pune, 130/1, Pashan - Sus Rd, Pashan Gaon, Pashan, Pune, Maharashtra 411021</span></span>","130","18.547873","73.769043","","/index.php/testing-facilities/15-government-laboratories/130-national-institute-of-virology-pune","Maharashtra","130/1, Pashan - Sus Rd","National Institute of Virology, Pune","411021"
"Anand Tower, #54, Bowring Hospital Road, 560001 Bengaluru, Karnataka, India","16","Bengaluru","India","...","2020-03-23 07:59:29","<span id=""docs-internal-guid-a958a4c6-7fff-654d-6a9c-2225e7085f1d"" style=""font-size: 11pt; font-family: Arial; color: #000000; background-color: transparent; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">Neuberg Anand Reference Laboratory, Anand Tower, #54, bowring Hospital Road, Bengaluru, karnataka, India <span id=""docs-internal-guid-63386298-7fff-37e7-54fa-1cdfd0e02a9c"" style=""font-size: 10.5pt; font-family: Arial; color: #222222; background-color: #ffffff; font-weight: 400; font-style: normal; font-variant: normal; text-decoration: none; vertical-align: baseline; white-space: pre-wrap;"">560001</span></span>","115","12.981785","77.602783","","/index.php/testing-facilities/16-private-laboratories/115-neuberg-anand-reference-laboratory-bengaluru","Karnataka","Anand Tower, #54, Bowring Hospital Road","Neuberg Anand Reference Laboratory, Bengaluru","560001"
" 46 & 48, Masilamani Road, Balaji Nagar, 600 014 Chennai, Tamil Nadu, India","16","Chennai","India","Neuberg Ehrlich Laboratory Pvt Ltd, 46 & 48, Masilamani Road, Balaji Nagar, Royapettah, Chennai -...","2020-03-24 08:18:10","Neuberg Ehrlich Laboratory Pvt Ltd, 46 & 48, Masilamani Road, Balaji Nagar, Royapettah, Chennai - 600 014, Tamil Nadu","152","13.0486","80.26387","","/index.php/testing-facilities/16-private-laboratories/152-neuberg-ehrlich-laboratory-pvt-ltd-chennai","Tamil Nadu"," 46 & 48, Masilamani Road, Balaji Nagar","Neuberg Ehrlich Laboratory Pvt Ltd,  Chennai","600 014"
"Punjagutta Rd, Punjagutta Market, Punjagutta, 500082 Hyderabad, Telangana , India","15","Hyderabad","India","Punjagutta Rd, Punjagutta Market, Punjagutta, Hyderabad, Telangana 500082","2020-03-24 21:04:06","Punjagutta Rd, Punjagutta Market, Punjagutta, Hyderabad, Telangana 500082","164","17.422014","78.452026","","/index.php/testing-facilities/15-government-laboratories/164-nizam-s-institute-of-medical-sciences-hyderabad","Telangana ","Punjagutta Rd, Punjagutta Market, Punjagutta","Nizam's Institute Of Medical Sciences, Hyderabad","500082"
"Siliguri, 734012 Siliguri, West Bengal , India","15","Siliguri","India","Siliguri, West Bengal 734012","2020-03-22 20:07:12","Siliguri, West Bengal 734012","26","26.690771","88.384911","","/index.php/testing-facilities/15-government-laboratories/26-north-bengal-medical-college-darjeeling","West Bengal ","Siliguri","North Bengal Medical College, Darjeeling","734012"
"Mawdiangdiang, , 793018 Shillong, , Meghalaya , India","15","Shillong, ","India","NEIGRIHMS, Shillong","2020-03-23 05:32:10","NEIGRIHMS, Shillong","83","25.591112","91.937798","","/index.php/testing-facilities/15-government-laboratories/83-north-eastern-indira-gandhi-regional-institute-of-health-medical-sciences-neigrihms-shillong","Meghalaya ","Mawdiangdiang, ","North Eastern Indira Gandhi Regional Institute of Health & Medical Sciences (NEIGRIHMS), Shillong","793018"
"3-Factory Road, Adjacent Safdarjung Hospital, 110029 New Delhi, Delhi, India","16","New Delhi","India","ONCQUEST LABORATORIES LIMITED, 3-Factory Road, Adjacent Safdarjung Hospital, New Delhi, Delhi 110029","2020-03-26 07:55:54","ONCQUEST LABORATORIES LIMITED, 3-Factory Road, Adjacent Safdarjung Hospital, New Delhi, Delhi 110029","173","28.566372","77.197624","","/index.php/testing-facilities/16-private-laboratories/173-oncquest-laboratories-limited-new-delhi","Delhi","3-Factory Road, Adjacent Safdarjung Hospital","ONCQUEST LABORATORIES LIMITED, New Delhi","110029"
"5-1-876, Turrebaz Khan Rd, 500095 Hyderabad, Telangana, India","15","Hyderabad","India","Osmania Medical College, <span class=""section-info-text""><span class=""widget-pane-link"">5-1-876, Turrebaz Khan Rd, Troop Bazaar, Koti, Hyderabad, Telangana 500095</span></span>","2020-03-23 07:11:45","Osmania Medical College, <span class=""section-info-text""><span class=""widget-pane-link"">5-1-876, Turrebaz Khan Rd, Troop Bazaar, Koti, Hyderabad, Telangana 500095</span></span>","106","17.382252","78.480659","","/index.php/testing-facilities/15-government-laboratories/106-osmania-medical-college-hyderabad","Telangana","5-1-876, Turrebaz Khan Rd","Osmania Medical College, Hyderabad","500095"
"SH 16A, Dev Colony, , 124514 Rohtak, , Haryana , India","15","Rohtak, ","India","Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences, SH 16A, Dev Colony,...","2020-03-22 21:26:34","Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences, SH 16A, Dev Colony, Rohtak, Haryana 124514","47","28.883762","76.608688","","/index.php/testing-facilities/15-government-laboratories/47-pandit-bhagwat-dayal-sharma-post-graduate-institute-of-medical-sciences-rohtak","Haryana ","SH 16A, Dev Colony, ","Pandit Bhagwat Dayal Sharma Post Graduate  Institute of Medical Sciences, Rohtak","124514"
"1st floor sankalp Squre Juna sharda Mandir Cross Road, 380006 Ahmedabad, Gujarat, India","16","Ahmedabad","India","1st floor sankalp Squre Juna sharda Mandir Cross Road, Ahmedabad, Gujarat 380006","2020-03-26 08:03:03","1st floor sankalp Squre Juna sharda Mandir Cross Road, Ahmedabad, Gujarat 380006","174","23.019569","72.560623","","/index.php/testing-facilities/16-private-laboratories/174-pangenomics-international-pvt-ltd-ahmedabad","Gujarat","1st floor sankalp Squre Juna sharda Mandir Cross Road","PanGenomics International Pvt. Ltd., Ahmedabad","380006"
